# Dieser Datensatz umfasst die bewohnten Wohnungen mit Wohnungsfläche sowie
# Personenangaben der Bewohnerschaft zur Haushaltsstruktur, aufgegliedert für
# mehrheitlich gemeinnützige und andere Eigentumsarten sowie Neubauart (z.B.
# Ersatzneubau).

# Die Daten stammen aus der Datenbank «Gebäude- und Wohnungsregister der Stadt
# Zürich» (GWZ) und dem Bevölkerungsregister (BVS) von Statistik Stadt Zürich.
# Die abgeglichenen Register werden seit 2014 laufend weitergeführt und
# bereinigt.  Datenquelle :
#
# Datenquelle und detaillierte Beschreibung der Variablen:
# https://data.stadt-zuerich.ch/dataset/bau_best_whg_pers_haush_quartier_neubauart_gemeinnuetzig_seit2014
#
"ReportJahr","StatistikJahr","QuarSort","QuarLang","HptEigGruppe","ArtErsatzneubau","AnzWhgBew","WohnFlBew","PersInWhgGT2","inHh_PamK","inHh_1ElK","inHh_UemK","inHh_1P","inHh_2P","inHh_EpoK","inHh_WGoK"
2017,2014,10,"Altstadt","Im Stockwerkeigentum","Altbau (bis 2006)",265,20703,441,75,7,3,140,106,66,42
2017,2015,10,"Altstadt","Im Stockwerkeigentum","Altbau (bis 2006)",265,21087,459,87,7,6,135,100,76,49
2017,2016,10,"Altstadt","Im Stockwerkeigentum","Altbau (bis 2006)",277,21604,469,73,14,11,145,102,76,49
2017,2014,10,"Altstadt","Öffentl./Genossenschaftl.","Altbau (bis 2006)",761,54700,1418,350,117,142,402,160,174,82
2017,2015,10,"Altstadt","Öffentl./Genossenschaftl.","Altbau (bis 2006)",757,53684,1402,350,109,127,412,158,178,65
2017,2016,10,"Altstadt","Öffentl./Genossenschaftl.","Altbau (bis 2006)",778,56280,1424,380,126,71,407,158,192,92
2017,2014,10,"Altstadt","Übrige Eigentümerschaften","Altbau (bis 2006)",1864,136481,3032,421,90,112,1108,632,328,323
2017,2015,10,"Altstadt","Übrige Eigentümerschaften","Altbau (bis 2006)",1870,137811,3030,416,74,122,1109,664,336,308
2017,2016,10,"Altstadt","Übrige Eigentümerschaften","Altbau (bis 2006)",1875,137806,3052,436,74,95,1104,644,322,369
2017,2015,10,"Altstadt","Übrige Eigentümerschaften","Neubau als Umnutzung",1,148,".",".",".",".",".",".",".","."
2017,2016,10,"Altstadt","Übrige Eigentümerschaften","Neubau als Umnutzung",1,148,".",".",".",".",".",".",".","."
2017,2014,10,"Altstadt","Übrige Eigentümerschaften","Neubau als Wohnersatz",4,418,11,3,3,0,0,2,0,3
2017,2015,10,"Altstadt","Übrige Eigentümerschaften","Neubau als Wohnersatz",4,418,12,3,3,0,0,2,0,4
2017,2016,10,"Altstadt","Übrige Eigentümerschaften","Neubau als Wohnersatz",4,418,9,".",".",".",".",".",".","."
2017,2014,21,"Wollishofen","Im Stockwerkeigentum","Altbau (bis 2006)",437,45547,873,241,36,76,177,92,214,34
2017,2015,21,"Wollishofen","Im Stockwerkeigentum","Altbau (bis 2006)",447,46820,909,265,35,64,176,80,220,61
2017,2016,21,"Wollishofen","Im Stockwerkeigentum","Altbau (bis 2006)",450,47342,910,284,23,79,184,86,210,42
2017,2014,21,"Wollishofen","Im Stockwerkeigentum","Neubau als Umnutzung",24,2927,44,18,0,0,12,4,10,0
2017,2015,21,"Wollishofen","Im Stockwerkeigentum","Neubau als Umnutzung",25,2964,46,18,0,0,12,4,12,0
2017,2016,21,"Wollishofen","Im Stockwerkeigentum","Neubau als Umnutzung",32,4013,67,27,0,0,12,2,18,3
2017,2014,21,"Wollishofen","Im Stockwerkeigentum","Neubau als Wohnersatz",60,7651,151,89,2,7,21,10,22,0
2017,2015,21,"Wollishofen","Im Stockwerkeigentum","Neubau als Wohnersatz",62,7859,164,93,4,11,16,14,18,6
2017,2016,21,"Wollishofen","Im Stockwerkeigentum","Neubau als Wohnersatz",64,8200,174,105,5,16,18,10,16,0
2017,2014,21,"Wollishofen","Im Stockwerkeigentum","Neubau auf unbebautem Land",2,337,".",".",".",".",".",".",".","."
2017,2015,21,"Wollishofen","Im Stockwerkeigentum","Neubau auf unbebautem Land",2,337,".",".",".",".",".",".",".","."
2017,2016,21,"Wollishofen","Im Stockwerkeigentum","Neubau auf unbebautem Land",2,337,".",".",".",".",".",".",".","."
2017,2014,21,"Wollishofen","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2450,177498,5005,1766,626,278,1049,416,730,141
2017,2015,21,"Wollishofen","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2288,165132,4637,1724,509,245,1012,336,688,127
2017,2016,21,"Wollishofen","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2325,167737,4762,1788,516,275,1024,356,688,107
2017,2014,21,"Wollishofen","Öffentl./Genossenschaftl.","Neubau als Umnutzung",25,2610,70,21,2,26,9,2,6,4
2017,2015,21,"Wollishofen","Öffentl./Genossenschaftl.","Neubau als Umnutzung",22,2286,71,14,0,36,8,0,6,7
2017,2016,21,"Wollishofen","Öffentl./Genossenschaftl.","Neubau als Umnutzung",28,2977,72,32,5,14,9,4,8,0
2017,2014,21,"Wollishofen","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",91,9262,248,172,18,0,16,12,38,0
2017,2015,21,"Wollishofen","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",229,22095,623,361,64,45,52,24,72,3
2017,2016,21,"Wollishofen","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",288,27532,790,491,78,36,61,44,80,0
2017,2014,21,"Wollishofen","Übrige Eigentümerschaften","Altbau (bis 2006)",4696,377696,8523,2137,357,581,2418,1428,1100,508
2017,2015,21,"Wollishofen","Übrige Eigentümerschaften","Altbau (bis 2006)",4676,375148,8572,2232,358,494,2375,1472,1062,547
2017,2016,21,"Wollishofen","Übrige Eigentümerschaften","Altbau (bis 2006)",4691,379181,8577,2224,400,472,2388,1374,1112,576
2017,2014,21,"Wollishofen","Übrige Eigentümerschaften","Neubau als Umnutzung",15,1307,30,3,0,4,3,12,8,0
2017,2015,21,"Wollishofen","Übrige Eigentümerschaften","Neubau als Umnutzung",15,1307,25,3,2,0,6,6,8,0
2017,2016,21,"Wollishofen","Übrige Eigentümerschaften","Neubau als Umnutzung",14,1247,28,9,2,4,5,4,4,0
2017,2014,21,"Wollishofen","Übrige Eigentümerschaften","Neubau als Wohnersatz",108,11466,254,135,2,9,34,36,24,14
2017,2015,21,"Wollishofen","Übrige Eigentümerschaften","Neubau als Wohnersatz",163,17554,378,162,10,25,44,60,50,23
2017,2016,21,"Wollishofen","Übrige Eigentümerschaften","Neubau als Wohnersatz",178,19099,397,163,17,21,49,68,56,17
2017,2014,21,"Wollishofen","Übrige Eigentümerschaften","Neubau auf unbebautem Land",19,2308,42,20,0,0,4,10,8,0
2017,2015,21,"Wollishofen","Übrige Eigentümerschaften","Neubau auf unbebautem Land",18,2228,38,15,0,5,7,6,6,0
2017,2016,21,"Wollishofen","Übrige Eigentümerschaften","Neubau auf unbebautem Land",19,2308,42,14,3,5,7,8,4,0
2017,2014,23,"Leimbach","Im Stockwerkeigentum","Altbau (bis 2006)",195,19318,375,99,11,22,74,34,134,3
2017,2015,23,"Leimbach","Im Stockwerkeigentum","Altbau (bis 2006)",199,19637,390,97,11,31,78,36,128,6
2017,2016,23,"Leimbach","Im Stockwerkeigentum","Altbau (bis 2006)",195,19051,374,105,11,21,76,36,122,3
2017,2015,23,"Leimbach","Im Stockwerkeigentum","Neubau als Wohnersatz",8,863,16,6,0,0,2,0,6,0
2017,2016,23,"Leimbach","Im Stockwerkeigentum","Neubau als Wohnersatz",12,1179,25,15,2,0,4,2,2,0
2017,2014,23,"Leimbach","Öffentl./Genossenschaftl.","Altbau (bis 2006)",997,80897,2624,1171,261,335,326,92,310,137
2017,2015,23,"Leimbach","Öffentl./Genossenschaftl.","Altbau (bis 2006)",1002,81387,2647,1178,264,377,327,94,294,111
2017,2016,23,"Leimbach","Öffentl./Genossenschaftl.","Altbau (bis 2006)",1050,84977,2691,1277,301,254,343,114,316,82
2017,2014,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau als Umnutzung",133,12245,294,81,2,22,32,80,28,52
2017,2015,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau als Umnutzung",179,16013,424,122,0,39,40,100,34,91
2017,2016,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau als Umnutzung",182,16260,441,129,0,55,39,98,36,82
2017,2014,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",103,10155,317,244,11,12,17,8,22,3
2017,2015,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",102,10044,311,217,25,21,18,10,18,3
2017,2016,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",102,10053,296,215,25,4,19,8,26,0
2017,2014,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",26,2136,52,28,0,4,16,4,0,0
2017,2015,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",29,2311,53,28,5,0,20,0,0,0
2017,2016,23,"Leimbach","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",30,2372,56,28,5,0,19,4,0,0
2017,2014,23,"Leimbach","Übrige Eigentümerschaften","Altbau (bis 2006)",969,83155,2050,723,82,153,385,256,330,121
2017,2015,23,"Leimbach","Übrige Eigentümerschaften","Altbau (bis 2006)",955,81489,2111,826,91,157,361,240,306,127
2017,2016,23,"Leimbach","Übrige Eigentümerschaften","Altbau (bis 2006)",948,81164,2122,812,130,186,367,236,268,114
2017,2014,23,"Leimbach","Übrige Eigentümerschaften","Neubau als Umnutzung",10,838,18,4,0,3,4,8,0,0
2017,2015,23,"Leimbach","Übrige Eigentümerschaften","Neubau als Umnutzung",9,741,15,4,0,0,5,6,0,0
2017,2016,23,"Leimbach","Übrige Eigentümerschaften","Neubau als Umnutzung",9,757,17,4,0,0,4,4,2,3
2017,2014,23,"Leimbach","Übrige Eigentümerschaften","Neubau als Wohnersatz",1,159,".",".",".",".",".",".",".","."
2017,2015,23,"Leimbach","Übrige Eigentümerschaften","Neubau als Wohnersatz",2,341,6,".",".",".",".",".",".","."
2017,2016,23,"Leimbach","Übrige Eigentümerschaften","Neubau als Wohnersatz",2,341,8,".",".",".",".",".",".","."
2017,2016,23,"Leimbach","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,213,4,".",".",".",".",".",".","."
2017,2014,24,"Enge","Im Stockwerkeigentum","Altbau (bis 2006)",422,45856,927,311,26,108,161,100,162,55
2017,2015,24,"Enge","Im Stockwerkeigentum","Altbau (bis 2006)",420,45337,902,302,28,96,165,94,162,50
2017,2016,24,"Enge","Im Stockwerkeigentum","Altbau (bis 2006)",441,47233,953,298,33,123,175,96,156,73
2017,2016,24,"Enge","Im Stockwerkeigentum","Neubau als Umnutzung",10,1059,17,3,0,0,5,4,2,3
2017,2014,24,"Enge","Im Stockwerkeigentum","Neubau auf unbebautem Land",16,2870,44,20,0,9,5,6,4,0
2017,2015,24,"Enge","Im Stockwerkeigentum","Neubau auf unbebautem Land",20,3189,51,17,0,13,6,8,6,0
2017,2016,24,"Enge","Im Stockwerkeigentum","Neubau auf unbebautem Land",33,4332,81,35,0,11,12,12,10,0
2017,2014,24,"Enge","Öffentl./Genossenschaftl.","Altbau (bis 2006)",348,25666,751,261,100,49,127,88,84,46
2017,2015,24,"Enge","Öffentl./Genossenschaftl.","Altbau (bis 2006)",349,25731,779,281,99,54,124,94,80,42
2017,2016,24,"Enge","Öffentl./Genossenschaftl.","Altbau (bis 2006)",348,25837,769,312,90,38,134,66,78,55
2017,2014,24,"Enge","Übrige Eigentümerschaften","Altbau (bis 2006)",3415,303124,6670,1791,182,445,1584,1168,826,668
2017,2015,24,"Enge","Übrige Eigentümerschaften","Altbau (bis 2006)",3415,304665,6696,1796,209,455,1628,1162,748,672
2017,2016,24,"Enge","Übrige Eigentümerschaften","Altbau (bis 2006)",3410,301122,6642,1767,197,461,1637,1172,744,658
2017,2016,24,"Enge","Übrige Eigentümerschaften","Neubau als Umnutzung",1,200,4,".",".",".",".",".",".","."
2017,2014,24,"Enge","Übrige Eigentümerschaften","Neubau als Wohnersatz",102,9954,208,84,4,0,32,44,42,3
2017,2015,24,"Enge","Übrige Eigentümerschaften","Neubau als Wohnersatz",192,18631,403,181,11,3,67,74,56,10
2017,2016,24,"Enge","Übrige Eigentümerschaften","Neubau als Wohnersatz",196,19093,421,187,11,17,62,86,48,12
2017,2014,24,"Enge","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,180,".",".",".",".",".",".",".","."
2017,2015,24,"Enge","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,180,".",".",".",".",".",".",".","."
2017,2016,24,"Enge","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,180,".",".",".",".",".",".",".","."
